Task_Number,Task_Description,Status1,Project_Code,Project_Name,Science_Area_Name,SELN_TYPE11_CODE,USER_FLD20
J80673,Zog - Fastener Shear tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80674,Lonza - Small clear tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80675,James Hardie - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80676,Boral - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80677,Kopine - Run 214,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80678,McAlpine - Load cell calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80679,Rooflogic P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80680,Andy Gunson- Particle Sieve Analysis (17,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80681,CHH - Whangarei Calibrations,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80682,Kopine - Run 224_225,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80683,Resistance to water penetration AsureQua,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80684,GAMMA - Portal testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80685,Clelands Timber QA Spreadsheet,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80686,MaxBert Load Cell Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80687,Kilwell Carbon Fibre Tube QA tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80688,Kilwell Carbon Fibre Tubeconnections - H,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80689,IBS - P21 tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80690,Andy Gunson - Particle Sieve Analysis,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80691,Kopine - Run 241,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80692,Laminata MiniCLT Bending tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80693,GradeRight Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80694,HouseIt - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80695,Oji Load Cell Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80696,AsureQuality IBS - resistance to water p,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80697,IBS - Water Vapour Transmission,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80698,TimSpec - Spotted Gum Bending,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80699,JNL - LVL FJ testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J30000,Timber Engineering Lab (Combined target,I,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
A62900,"Misc Commercial Drying <$2,000",A,465,Wood Drying,Wood and Fibre,WF,PROJECT
A62930,Comparative Distortion of Weatherboards,A,465,Wood Drying,Wood and Fibre,WF,PROJECT
A62932,Windsor DryspecTtransition Support,I,465,Wood Drying,Wood and Fibre,WF,PROJECT
H50046,Project 466 Administration Costs,A,466,Wood Modification,Wood and Fibre,WF,PROJECT
J79258,Wood Emissions,A,466,Wood Modification,Wood and Fibre,WF,PROJECT
J79221,General wood modification,A,466,Wood Modification,Wood and Fibre,WF,PROJECT
J79223,Fundamental Studies,A,466,Wood Modification,Wood and Fibre,WF,PROJECT
J79225,Colour enhancement of wood,A,466,Wood Modification,Wood and Fibre,WF,PROJECT
J79252,Smart Wood Surfaces,A,466,Wood Modification,Wood and Fibre,WF,PROJECT
A85200,NF Target Minor Opportunities,A,472,Business Development Forest Science,Business Development NF,BN,PROJECT
J79828,Misc Target Revenue,A,476,Business Development Bioproduct Developm,Business Development BD,BB,PROJECT
J79845,SfTI Management,A,476,Business Development Bioproduct Developm,Business Development BD,BB,PROJECT
J79800,Manufacturing TRST,A,483,TRST Manufacturing,BioPolymers and Chemicals,BP,PROJECT
H50061,Complex Systems Administration,A,487,FII Core Funding,Forest Industry Infomatics,FI,PROJECT
W00124,Govt Funding - 487,A,487,FII Core Funding,Forest Industry Infomatics,FI,PROJECT
W00131,Govt Funding - 487,A,487,FII Core Funding,Forest Industry Infomatics,FI,PROJECT
A05539,Construction Standards,A,490,Built Environment,Wood and Fibre,WF,PROJECT
A05541,Innovations,A,490,Built Environment,Wood and Fibre,WF,PROJECT
A05561,Tall Timber Building Hub - Project009 -,A,490,Built Environment,Wood and Fibre,WF,PROJECT
A05565,Toi-Ohomai - Te Whaiti,A,490,Built Environment,Wood and Fibre,WF,PROJECT
A05566,Housing Corp,A,490,Built Environment,Wood and Fibre,WF,PROJECT
A05567,Carbon Storage Economic,A,490,Built Environment,Wood and Fibre,WF,PROJECT
A05568,Smart EWP,A,490,Built Environment,Wood and Fibre,WF,PROJECT
A49091,Matakriki ALS Scoping Work,A,494,Misc Fees for Service,Forest Industry Infomatics,FI,PROJECT
A49017,Industry engagement,A,494,Misc Fees for Service,Forest Industry Infomatics,FI,PROJECT
H49000,Radiata Pine G&Y - Admin,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J00100,Wood Quality Assessments,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J00104,USDA JV D-Fir Silviculture,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J00123,RSNZ - Simulation of sugar transport in,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J58500,PSP Various Small Charges Processing & M,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J58501,PSP Kaingaroa Timberlands,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J58506,PSP Hancock Forest Management Ltd,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J58507,FGR PSP Measurement,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J58508,Oji Fibre Solutions - Economic analysis,A,499,Radiata Pine,Forest Systems,FS,PROJECT
J60518,Pest Establishment,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60605,B3 - Admin,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60606,Beetle Survey,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60612,B3 - R5 - Biocontrol impacts,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60621,B3 - P4 - Optimising investment,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60622,B3 - P5 - Biosecurity in ports,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60623,MBIE DHS acoustic detection and PhD,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60641,"B3 - S1 - Surveillance, trapping, etc.",A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60672,B3 - P2 - Pathways risk - imports,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60673,B3 - R3 - Biocontrol risk prediction,A,504,Pre Border Entomology,Forest Protection,FP,PROJECT
J60328,SFF Tasmania,A,505,Post Border Entomology,Forest Protection,FP,PROJECT
J60555,Eucalypt Health,A,505,Post Border Entomology,Forest Protection,FP,PROJECT
H50101,Project Admin - Post Border Entomology,A,505,Post Border Entomology,Forest Protection,FP,PROJECT
J60280,Market Access Small Projects,A,506,Market Access - Entomology,Forest Protection,FP,PROJECT
J60287,Sirex,A,506,Market Access - Entomology,Forest Protection,FP,PROJECT
J60289,Stimbr IRAs,A,506,Market Access - Entomology,Forest Protection,FP,PROJECT
J60290,PFR Delivery,A,506,Market Access - Entomology,Forest Protection,FP,PROJECT
J60291,Light Pollution,A,506,Market Access - Entomology,Forest Protection,FP,PROJECT
J60292,Artificial Light,A,506,Market Access - Entomology,Forest Protection,FP,PROJECT
J60304,MPI HRSS Diagnostics,A,508,Diagnostics,Forest Protection,FP,PROJECT
J60306,MPI Audit and liaisons,A,508,Diagnostics,Forest Protection,FP,PROJECT
J60329,ISO Processes,A,508,Diagnostics,Forest Protection,FP,PROJECT
J60325,Gypsy Moth diagnostics,A,508,Diagnostics,Forest Protection,FP,PROJECT
J59901,FOA Diagnostics,A,508,Diagnostics,Forest Protection,FP,PROJECT
J59904,FOA site visits,A,508,Diagnostics,Forest Protection,FP,PROJECT
H50102,Project Admin - Diagnostics,A,508,Diagnostics,Forest Protection,FP,PROJECT
H50800,Project 508 Accrual Adjust,A,508,Diagnostics,Forest Protection,FP,PROJECT
W00157,Govt Funding 508,A,508,Diagnostics,Forest Protection,FP,PROJECT
H50103,Project Admin - Herbarium,I,509,Herbarium,Forest Protection,FP,PROJECT
A07003,Myrtle rust project,A,509,Herbarium,Forest Protection,FP,PROJECT
J60322,Collections,A,509,Herbarium,Forest Protection,FP,PROJECT
J60999,Manuka Honey,A,509,Herbarium,Forest Protection,FP,PROJECT
J60902,Ecology - Herbarium Commerical,A,509,Herbarium,Forest Protection,FP,PROJECT
J62004,Forestry Herbarium,A,509,Herbarium,Forest Protection,FP,PROJECT
J02001,Phytophthora MB Path,A,510,Healthy trees Healthy Future,Forest Protection,FP,PROJECT
J02002,Phytophthora MB Metabolism,A,510,Healthy trees Healthy Future,Forest Protection,FP,PROJECT
J02003,Phytophthora MB Breeding,A,510,Healthy trees Healthy Future,Forest Protection,FP,PROJECT
J02004,Phytophthora MB Admin,A,510,Healthy trees Healthy Future,Forest Protection,FP,PROJECT
J02005,Phytophthora MB Transcriptomics,A,510,Healthy trees Healthy Future,Forest Protection,FP,PROJECT
J02006,Phytophthora MB Data,A,510,Healthy trees Healthy Future,Forest Protection,FP,PROJECT
H50105,Project Admin - Forest Diseases,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60519,Pest Detection,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60530,Dothistroma,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60515,Ectomycc,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60516,Biosecurity Threats,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60517,Phytophthora,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60570,Forest Disease Reviews,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60572,GIA Scion Support,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60573,BH-NSC 1.2 PGEs,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60576,IUFRO WP,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60577,Myrtle rust pathology,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60674,B3 - Molecular systematics diagnostics,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60675,B3 - High Throughput Seq,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60652,B3 eRNA diagnostics,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60568,Cyclaneusma,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60586,NZPPI,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60663,B3 - Risk (R3) Phytophthora Conveyancy,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60670,B3 Myrtle Rust,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60671,Pest Impact Calculator,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60105,Lincoln BPRC,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60113,DED,A,511,Forest Diseases,Forest Protection,FP,PROJECT
J60762,BMSB chemical approval,A,512,Control,Forest Protection,FP,PROJECT
J60676,B3 - E3 - Eradication aerial application,A,512,Control,Forest Protection,FP,PROJECT
J60702,USDA Spray Modelling,A,512,Control,Forest Protection,FP,PROJECT
J60754,Trap Design and Pheromone Modelling,A,512,Control,Forest Protection,FP,PROJECT
J60756,Spray Modelling Consulting,A,512,Control,Forest Protection,FP,PROJECT
J60764,Bioheritage SLG,A,512,Control,Forest Protection,FP,PROJECT
J26001,Core funded indigenous,A,514,Alternative Species G and Y,Forest Systems,FS,PROJECT
J26004,MPI Northland ttara,A,514,Alternative Species G and Y,Forest Systems,FS,PROJECT
A67101,Integral,I,522,Software Engineering Royalties,Forest Industry Infomatics,FI,PROJECT
J79824,Lignin Biotech,A,524,Lignin Biotech,Biotransformation,BI,PROJECT
J79870,VITO Postdoc Support,A,526,Lignin Chemical Tech,Biotransformation,BI,PROJECT
J79822,Lignin Chemical Tech,A,526,Lignin Chemical Tech,Biotransformation,BI,PROJECT
N60503,GIS bioenergy model,A,530,Bioenergy Feedstocks,Clean Technologies,CT,PROJECT
N60508,Biomass Resources,A,530,Bioenergy Feedstocks,Clean Technologies,CT,PROJECT
A62532,Biofuel Consortium,A,532,Bioenergy Leadership Activities,Clean Technologies,CT,PROJECT
A62567,Leadership activities revenue,A,532,Bioenergy Leadership Activities,Clean Technologies,CT,PROJECT
A62592,B&B Admin,A,532,Bioenergy Leadership Activities,Clean Technologies,CT,PROJECT
H50030,Project 449 Administration Costs,A,537,Composites,Wood and Fibre,WF,PROJECT
J19901,Biobased matrices,A,537,Composites,Wood and Fibre,WF,PROJECT
J19902,Fibre,A,537,Composites,Wood and Fibre,WF,PROJECT
J19903,Interface modification,A,537,Composites,Wood and Fibre,WF,PROJECT
J19904,Composites - General,A,537,Composites,Wood and Fibre,WF,PROJECT
J19905,Characterisation & modelling of parts,A,537,Composites,Wood and Fibre,WF,PROJECT
J19908,Nanoring - Catalyst fund,A,537,Composites,Wood and Fibre,WF,PROJECT
J19912,Tough Fibre,A,537,Composites,Wood and Fibre,WF,PROJECT
J22101,Extractives Recovery,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22102,Hemicellulose pre-extraction,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22103,Enhanced Hemicellulose Extraction,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22104,P&P Biorefineries,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22105,Alternative Extraction,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22106,Sawdust to cattle feed,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22107,BPA 175 - Cattle feed,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22108,Designer Fibres,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22109,Fibre Forest,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22110,Wood sugar utilisation,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22111,Prebiotics,A,538,Biorefineries,Wood and Fibre,WF,PROJECT
J22112,BPA 1805-01 - Prebiotic Wood Molasses,I,538,Biorefineries,Wood and Fibre,WF,PROJECT
H54000,Project 540 Accrual Adjust,A,540,Bioresource Processing Alliance,Clean Technologies,CT,PROJECT
A18900,Bioresource Processing Alliance GM & pro,A,540,Bioresource Processing Alliance,Clean Technologies,CT,PROJECT
A18902,SLG Management time & travel,A,540,Bioresource Processing Alliance,Clean Technologies,CT,PROJECT
A18906,BPA Marketing & Communication,A,540,Bioresource Processing Alliance,Clean Technologies,CT,PROJECT
A18912,BPA Scion internal Project Management,A,540,Bioresource Processing Alliance,Clean Technologies,CT,PROJECT
A72817,BPA Cyclone Dust,I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72818,Biomass Extractions,I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72801,Pulp/Biomass Extrusions,I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72802,Biopolymer Reactions & Extrusions,I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72803,Applications & Transfer (Extrusion Plus),I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72804,Admin & IAG (Extrusion Plus),I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72805,Waikato University (Extrusion Plus),I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72806,AUT-Massey (Extrusion Plus),I,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A72807,Auckland University (Extrusion Plus),A,542,Extrusion - Plus,BioPolymers and Chemicals,BP,PROJECT
A62580,WoodScape Model,I,554,Woodscape,Value Chain Optimisation,VC,PROJECT
A09411,Environmental Technologies Core,A,560,Environmental Technologies,Clean Technologies,CT,PROJECT
A09482,ET Publications,A,560,Environmental Technologies,Clean Technologies,CT,PROJECT
A09483,ET leadership,A,560,Environmental Technologies,Clean Technologies,CT,PROJECT
F70001,RA1.1 Segregation Methods,A,567,GCFF,Forest Systems,FS,PROJECT
F70002,RA2.2a Radiata Pine Productivity - produ,A,567,GCFF,Forest Systems,FS,PROJECT
F70003,RA2.1 (Genetics) Tree Performance and Pr,A,567,GCFF,Forest Systems,FS,PROJECT
F70004,RA2.1 (LiDAR) Tree Performance and Produ,A,567,GCFF,Forest Systems,FS,PROJECT
F70005,RA3.1 Future Intensification,A,567,GCFF,Forest Systems,FS,PROJECT
F70006,RA4 Closing the Gap,A,567,GCFF,Forest Systems,FS,PROJECT
F70013,RA1.2 Forest Management Practices,A,567,GCFF,Forest Systems,FS,PROJECT
F70022,RA2.3 Growth Promoting Activity,A,567,GCFF,Forest Systems,FS,PROJECT
F70023,RA2.2b Radiata Pine Productivity - accel,A,567,GCFF,Forest Systems,FS,PROJECT
F70024,RA2.2c Radiata Pine Productivity - optim,A,567,GCFF,Forest Systems,FS,PROJECT
F70032,RA3.2a Sustainability over multiple rota,A,567,GCFF,Forest Systems,FS,PROJECT
F70033,RA3.3 Changing Expectations,A,567,GCFF,Forest Systems,FS,PROJECT
F70034,RA3.2b Sustainability over multiple rota,A,567,GCFF,Forest Systems,FS,PROJECT
F70040,(RA1.1 extension) Assessment of 17 silvi,A,567,GCFF,Forest Systems,FS,PROJECT
F70041,(RA1.2 extension) Fast tracking new foli,A,567,GCFF,Forest Systems,FS,PROJECT
F70042,(RA2.1 LiDAR extension) Extension and fu,A,567,GCFF,Forest Systems,FS,PROJECT
F70043,(RA3.1 extension) NuBALM in precision nu,I,567,GCFF,Forest Systems,FS,PROJECT
F70061,GCFF General Admin & project support,A,567,GCFF,Forest Systems,FS,PROJECT
F70063,(RA 2.2c extension) Site Specific Nurser,A,567,GCFF,Forest Systems,FS,PROJECT
F70064,(RA 2.2c extension) Nursery management,A,567,GCFF,Forest Systems,FS,PROJECT
F70065,RA3.1a Freshwater & Intensification,A,567,GCFF,Forest Systems,FS,PROJECT
F70066,RA3.1 (ext) Predicting a productivity re,A,567,GCFF,Forest Systems,FS,PROJECT
A49164,Futurity Characterisation Extraction Pro,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49165,Massey University Compounding Job,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49166,Analysis of 5 lignin samples for Suzano,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49167,Altex - ICP-MS and FTIR spec of paint sa,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49170,Identification of unknown compounds in a,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49171,Patton Engineering - Analysis of paint s,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49172,Suzano P&P - Analysis of 20 lignin sampl,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49146,Ecrotek - Polymer composites for beehive,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49147,The Formary - Textile Reuse Project - Fe,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49148,GPC analysis - SIMCRO,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49149,Accelerated aging and flexural testing -,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49150,Hewlett Point 1,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49151,Analysis of wood samples - Lonza NZ Limi,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49152,Analysis of phenolic resin bondlines in,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49153,Massey University Compounding Job,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49154,Fisher & Paykel Healthcare - Surface Tre,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49155,SIMCRO - Rheological analysis,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49156,Suzano - Analysis of lignin samples,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49157,Analysis of lignin samples - Suzano Pulp,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49158,LIC Bulling Beacon 1 and 2,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49159,Altex Intumescent coatings,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49160,Lintbells Packaging,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49161,Lonza Compounding - September 2018,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49162,Futurity - PLA Chem Recycling,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A40069,Zespri Fruit-Plastic Spife,I,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
A49136,Biopolymers & Chemicals Commercial,A,568,"Polymers, Composites, Packaging & Chemicals Commercial",BioPolymers and Chemicals,BP,PROJECT
N60519,IS Leadership,A,573,Wood-Energy Industrial Symbiosis,Clean Technologies,CT,PROJECT
N60520,IS Aim 1,A,573,Wood-Energy Industrial Symbiosis,Clean Technologies,CT,PROJECT
N60521,IS Aim 2,A,573,Wood-Energy Industrial Symbiosis,Clean Technologies,CT,PROJECT
N60522,IS Aim 3,A,573,Wood-Energy Industrial Symbiosis,Clean Technologies,CT,PROJECT
A40092,Fulton and Hogan Bitumen project,I,577,Fulton Hogan Bitumen,BioPolymers and Chemicals,BP,PROJECT
A40040,Fulton Hogan - Phase 3,I,577,Fulton Hogan Bitumen,BioPolymers and Chemicals,BP,PROJECT
A57242,Marsden,A,579,Nanoscale Energy Processes,Clean Technologies,CT,PROJECT
J59310,Health and Safety Core (prev Harvesting,A,580,Human Factors (Forest Systems),Forest Systems,FS,PROJECT
J62373,UoW Wearable Tech,A,580,Human Factors (Forest Systems),Forest Systems,FS,PROJECT
J62370,Building Capability - Maximising Inciden,A,580,Human Factors (Forest Systems),Forest Systems,FS,PROJECT
J62371,Virtual Reality,A,580,Human Factors (Forest Systems),Forest Systems,FS,PROJECT
J62364,FISC - IRIS System Administration,A,580,Human Factors (Forest Systems),Forest Systems,FS,PROJECT
J62365,FISC - Maximising Incident Learning Oppo,A,580,Human Factors (Forest Systems),Forest Systems,FS,PROJECT
H58000,Project 580 Accrual Adjust,A,580,Human Factors (Forest Systems),Forest Systems,FS,PROJECT
H58400,Project 584 Accrual Adjust,A,584,NZAGRC Maori farms GHG,Value Chain Optimisation,VC,PROJECT
A64005,NZAGRC Systems modelling,A,584,NZAGRC Maori farms GHG,Value Chain Optimisation,VC,PROJECT
A02056,D.Fir planting progeny trials (T05023),A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02057,SWP Macrocarpa trials & Lusitancia breed,A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02059,D. Fir wood stiffness,A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02060,Planting Long Mile (T05040),A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02061,SSIF - Lusitancia publication,A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02037,Site species mapping,A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02044,FOA promotion,A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02048,Assessment of E. Nitens Howdens progeny,A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02049,Paropsis biocontrol SFF,I,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
A02050,SSIF - Test genomics tech into tree bree,A,585,Speciality Wood Products Partnership,Forest Genetics,FG,PROJECT
J79040,Novel Drying,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J79049,Ceramic Wood,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J79050,Nitens Distortion,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J79051,Digital Image Correlation,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J79052,HVP General,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J79053,Collapse Morphology,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J79054,Understanding Markets,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J79865,LVL stiffness,A,587,High Value Processing,Wood and Fibre,WF,PROJECT
J61234,UoC lecturing - K Bayne,A,588,Consultancy Projects,Forest Systems,FS,PROJECT
J61244,Small projects - General,A,588,Consultancy Projects,Forest Systems,FS,PROJECT
J02459,TAPS Manuka feasibility,A,591,Maori Land Development,Value Chain Optimisation,VC,PROJECT
J62401,Stream 1 - M&E Framework: Weaving the Ko,I,593,Weaving the Korowai,Forest Systems,FS,PROJECT
J62402,Stream 2 - Adaptive Governance: Weaving,I,593,Weaving the Korowai,Forest Systems,FS,PROJECT
J62403,"Stream 3 - Building, Bridging and Bondin",I,593,Weaving the Korowai,Forest Systems,FS,PROJECT
J62404,Stream 4 - Scaling up and accelerating a,I,593,Weaving the Korowai,Forest Systems,FS,PROJECT
J62405,Project management and Coordination: Wea,I,593,Weaving the Korowai,Forest Systems,FS,PROJECT
J60757,Active surveillance,A,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
J60758,Targeted tools,A,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
J60759,Social Dimensions,A,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
J60760,Workshops,A,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
J60761,RA1.2.3 Two eco-eradication tools,A,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
J60653,B3 - E3 - Eradication aerial application,I,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
J60763,Royal Society Grant - Travel,A,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
H50106,Project Admin - Urban toolkit for Biosec,A,594,Urban toolkit for Biosecurity,Forest Protection,FP,PROJECT
W00108,Core Funding - 595,A,595,Myland Integration,Value Chain Optimisation,VC,PROJECT
H59900,Project 599 Accrual Adjust,A,599,Commercial Packaging,BioPolymers and Chemicals,BP,PROJECT
A49137,Investigation of Box and Board Performan,I,599,Commercial Packaging,BioPolymers and Chemicals,BP,PROJECT
A49135,Pakarito Project,I,599,Commercial Packaging,BioPolymers and Chemicals,BP,PROJECT
A49107,White Room - Box Tester,A,599,Commercial Packaging,BioPolymers and Chemicals,BP,PROJECT
